1918-01-01	4.833
1918-02-01	4.873
1918-03-01	4.936
1918-04-01	5.026
1918-05-01	4.999
1918-06-01	5.080
1918-07-01	5.104
1918-08-01	5.246
1918-09-01	5.429
1918-10-01	5.578
1918-11-01	5.581
1918-12-01	5.634
1919-01-01	5.617
1919-02-01	5.583
1919-03-01	5.607
1919-04-01	5.648
1919-05-01	5.661
1919-06-01	5.638
1919-07-01	5.681
1919-08-01	5.719
1919-09-01	5.730
1919-10-01	5.777
1919-11-01	5.880
1919-12-01	5.921
1920-01-01	5.997
1920-02-01	6.117
1920-03-01	6.216
1920-04-01	6.197
1920-05-01	6.229
1920-06-01	6.270
1920-07-01	6.303
1920-08-01	6.310
1920-09-01	6.312
1920-10-01	6.294
1920-11-01	6.231
1920-12-01	6.136
1921-01-01	6.062
1921-02-01	5.987
1921-03-01	5.885
1921-04-01	5.756
1921-05-01	5.721
1921-06-01	5.639
1921-07-01	5.558
1921-08-01	5.478
1921-09-01	5.396
1921-10-01	5.326
1921-11-01	5.272
1921-12-01	5.253
1922-01-01	5.237
1922-02-01	5.224
1922-03-01	5.259
1922-04-01	5.286
1922-05-01	5.304
1922-06-01	5.321
1922-07-01	5.340
1922-08-01	5.347
1922-09-01	5.384
1922-10-01	5.429
1922-11-01	5.421
1922-12-01	5.490
1923-01-01	5.568
1923-02-01	5.618
1923-03-01	5.617
1923-04-01	5.638
1923-05-01	5.675
1923-06-01	5.683
1923-07-01	5.713
1923-08-01	5.720
1923-09-01	5.722
1923-10-01	5.665
1923-11-01	5.712
1923-12-01	5.728
1924-01-01	5.712
1924-02-01	5.755
1924-03-01	5.799
1924-04-01	5.812
1924-05-01	5.813
1924-06-01	5.851
1924-07-01	5.869
1924-08-01	5.897
1924-09-01	5.916
1924-10-01	5.918
1924-11-01	5.979
1924-12-01	5.990
1925-01-01	5.978
1925-02-01	5.974
1925-03-01	5.955
1925-04-01	5.935
1925-05-01	5.939
1925-06-01	5.943
1925-07-01	5.954
1925-08-01	5.979
1925-09-01	5.996
1925-10-01	6.019
1925-11-01	6.017
1925-12-01	6.039
1926-01-01	6.041
1926-02-01	6.066
1926-03-01	6.061
1926-04-01	6.063
1926-05-01	6.074
1926-06-01	6.085
1926-07-01	6.107
1926-08-01	6.105
1926-09-01	6.091
1926-10-01	6.081
1926-11-01	6.048
1926-12-01	6.039
1927-01-01	6.058
1927-02-01	6.068
1927-03-01	6.098
1927-04-01	6.122
1927-05-01	6.125
1927-06-01	6.126
1927-07-01	6.113
1927-08-01	6.118
1927-09-01	6.123
1927-10-01	6.114
1927-11-01	6.125
1927-12-01	6.113
1928-01-01	6.112
